hgnc_symbol	mim_morbid
ALG2	607906
ALG3	601110
ALG5	NA
ALG6	603147
ALG8	608104
ALG9	608776
ALG9	263210
ALK	613014
ALKBH1	NA
ALKBH2	NA
ALKBH3	NA
ALKBH4	NA
ALKBH5	NA
ALKBH6	NA
ALKBH7	NA
ALKBH8	NA
ALLC	612396
ALMS1	203800
ALOX12	NA
ALOX12B	242100
ALOX15	NA
ALOX15B	NA
ALOX5	600807
ALOX5AP	601367
ALPI	NA
ALPK1	NA
ALPL	241510
ALPL	241500
ALPL	146300
ALPP	NA
ALPPL2	NA
ALS2	607225
ALS2	606353
ALS2	205100
ALS2CL	NA
ALS2CR11	NA
ALS2CR12	NA
ALX1	613456
ALX4	615529
ALX4	613451
ALX4	609597
ALYREF	NA
AMACR	614307
AMACR	214950
AMBN	616270
AMBP	NA
AMBRA1	NA
AMD1	NA
AMDHD1	NA
AMDHD2	NA
AMELX	301200
AMER1	300373
AMER3	NA
AMFR	NA
AMH	261550
AMHR2	261550
AMIGO1	NA
AMIGO2	NA
AMMECR1	NA
AMMECR1L	NA
AMN	261100
AMN1	NA
AMOT	NA
AMOTL1	NA
AMOTL2	NA
AMPD1	615511
AMPD2	615809
AMPD2	615686
AMPD3	612874
AMPH	NA
AMT	605899
AMTN	NA
AMY1A	NA
AMY1B	NA
AMY1C	NA
AMY2A	NA
AMY2B	NA
AMZ2P1	NA
ANAPC1	NA
ANAPC10	NA
ANAPC11	NA
ANAPC13	NA
ANAPC15	NA
ANAPC16	NA
ANAPC2	NA
ANAPC4	NA
ANAPC5	NA
ANAPC7	NA
ANG	611895
ANGPT1	NA
ANGPT2	NA
ANGPT4	NA
ANGPTL1	NA
ANGPTL2	NA
ANGPTL3	605019
ANGPTL4	615881
ANGPTL5	NA
ANGPTL6	NA
ANGPTL7	NA
ANGPTL8	NA
ANHX	NA
ANK1	NA
ANK2	600919
ANK3	615493
ANKDD1B	NA
ANKEF1	NA
ANKFY1	NA
ANKH	123000
ANKH	118600
ANKHD1	NA
ANKHD1-EIF4EBP3	NA
ANKIB1	NA
ANKLE1	NA
ANKLE2	616681
ANKMY2	NA
ANKRA2	NA
ANKRD1	NA
ANKRD10	NA
ANKRD11	NA
ANKRD12	NA
ANKRD13A	NA
ANKRD13B	NA
ANKRD13C	NA
ANKRD13D	NA
ANKRD17	NA
ANKRD2	NA
ANKRD20A1	NA
ANKRD20A2	NA
ANKRD20A3	NA
ANKRD20A4	NA
ANKRD22	NA
ANKRD23	NA
ANKRD24	NA
ANKRD26P1	NA
ANKRD27	NA
ANKRD28	NA
ANKRD29	NA
ANKRD30A	NA
ANKRD30B	NA
ANKRD30BL	NA
ANKRD33	NA
ANKRD35	NA
ANKRD36	NA
ANKRD36B	NA
ANKRD36BP1	NA
ANKRD36C	NA
ANKRD39	NA
ANKRD40	NA
ANKRD42	NA
ANKRD44	NA
ANKRD45	NA
ANKRD50	NA
ANKRD52	NA
ANKRD53	NA
ANKRD54	NA
ANKRD55	NA
ANKRD6	NA
ANKRD60	NA
ANKRD62	NA
ANKRD63	NA
ANKRD65	NA
ANKRD66	NA
ANKRD7	NA
ANKS1A	NA
ANKS1B	NA
ANKS3	NA
ANKS4B	NA
ANKS6	615382
ANKUB1	NA
ANKZF1	NA
ANLN	616032
ANO1	NA
ANO10	613728
ANO2	NA
ANO3	615034
ANO4	NA
ANO5	613319
ANO5	611307
ANO5	166260
ANO6	NA
ANO7	NA
ANO8	NA
ANO9	NA
